film,year,movies.budget,movies.revenue,movies.popularity,status
Alice in Wonderland,2010,200000000,1025467110,140.22,winner
Winter's Bone,2010,2000000,13831503,9.48,nominated
Toy Story 3,2010,200000000,1066969703,125.48,nominated
I Am Love,2010,3600000,12014663,6.53,nominated
Logan's Run,1976,9000000,25000000,13.22,nominated
The Kids Are All Right,2010,3500000,34705850,8.58,nominated
Inception,2010,160000000,825532764,127.44,winner
Star Wars,1977,11000000,775398007,130.64,nominated
The Tempest,2010,0,0,1.87,nominated
Black Swan,2010,13000000,329398046,29.71,nominated
127 Hours,2010,18000000,35692920,22.51,nominated
Another Year,2010,8000000,18124262,7.56,nominated
True Grit,2010,38000000,252276927,19.98,nominated
The King's Speech,2010,15000000,414211549,14.8,nominated
Close Encounters of the Third Kind,1977,20000000,306889114,18.92,winner
The Deer Hunter,1978,15000000,50000000,17.99,winner
Superman,1978,55000000,300218018,45.14,nominated
The Boys from Brazil,1978,0,0,9.85,nominated
All That Jazz,1979,12000000,37823676,6.67,nominated
Kramer vs. Kramer,1979,8000000,106260000,10.05,winner
Bridesmaids,2011,32500000,288383523,15.42,nominated
The Help,2011,25000000,216639112,117.33,nominated
The Rose,1979,9250000,29174648,6.76,nominated
Jane Eyre,2011,0,34710627,10.62,nominated
Midnight in Paris,2011,17000000,151119219,15.73,nominated
A Separation,2011,5000000,24426169,11.57,nominated
Manhattan,1979,9000000,39946780,8.75,nominated
Raging Bull,1980,18000000,23000000,15.08,winner
The Descendants,2011,20000000,177243185,38.71,nominated
Ordinary People,1980,6000000,54766923,8.31,winner
Hugo,2011,170000000,185770160,22.43,nominated
Somewhere in Time,1980,5100000,0,8.42,nominated
On Golden Pond,1981,15000000,119285432,7.22,winner
W.E.,2011,15000000,868439,8.36,nominated
Pennies from Heaven,1981,22000000,9171289,5.59,nominated
Ragtime,1981,0,0,5.95,nominated
Chariots of Fire,1981,5500000,58972904,9.95,winner
Excalibur,1981,11000000,34967437,10.36,nominated
Tootsie,1982,21000000,177200000,9.86,nominated
Gandhi,1982,22000000,77737889,12.28,winner
Diner,1982,0,0,8.04,nominated
The Verdict,1982,16000000,53977250,8.08,nominated
